date,store,item,month,sales
5/7/2016,store_1,pastry,7,52
2/2/2017,store_1,pastry,2,38
10/11/2015,store_1,pastry,11,44
1/11/2017,store_1,pastry,11,47
3/3/2017,store_1,pastry,3,60
11/3/2015,store_1,pastry,3,36
6/4/2016,store_1,pastry,4,55
5/10/2016,store_1,pastry,10,57
11/10/2015,store_1,pastry,10,64
3/6/2017,store_1,pastry,6,85
10/4/2015,store_1,pastry,4,68
10/1/2015,store_1,pastry,1,44
10/12/2015,store_1,pastry,12,41
1/6/2017,store_1,pastry,6,87
11/9/2015,store_1,pastry,9,60
5/11/2016,store_1,pastry,11,54
10/6/2015,store_1,pastry,6,54
6/6/2016,store_1,pastry,6,63
1/8/2017,store_1,pastry,8,49
5/8/2016,store_1,pastry,8,67
1/9/2017,store_1,pastry,9,68
2/7/2017,store_1,pastry,7,90
3/4/2017,store_1,pork,4,74
10/3/2015,store_1,pork,3,53
5/8/2016,store_1,pork,8,76
3/9/2017,store_1,pork,9,85
2/4/2017,store_1,pork,4,76
6/12/2016,store_1,pork,12,59
2/2/2017,store_1,pork,2,54
2/10/2017,store_1,pork,10,64
5/6/2016,store_1,pork,6,114
1/4/2017,store_1,pork,4,105
5/3/2016,store_1,pork,3,88
3/10/2017,store_1,pork,10,57
11/4/2015,store_1,pork,4,77
2/3/2017,store_1,pork,3,70
11/6/2015,store_1,pork,6,85
2/12/2017,store_1,pork,12,52
2/8/2017,store_1,pork,8,98
3/12/2017,store_1,pork,12,64
11/2/2015,store_1,pork,2,49
2/5/2017,store_1,pork,5,87
2/7/2017,store_1,pork,7,105
3/2/2017,store_1,pork,2,67
5/11/2016,store_1,pork,11,86
6/10/2016,store_1,pork,10,75
1/2/2017,store_1,pork,2,55
3/7/2017,store_1,pork,7,76
10/6/2015,store_1,pork,6,76
2/6/2017,store_1,pork,6,102
1/9/2017,store_1,pork,9,90
1/7/2017,store_1,pork,7,111
10/9/2015,store_1,vegetables,9,41
3/3/2017,store_1,vegetables,3,49
1/3/2017,store_1,vegetables,3,45
2/4/2017,store_1,vegetables,4,64
3/1/2017,store_1,vegetables,1,26
5/6/2016,store_1,vegetables,6,76
3/9/2017,store_1,vegetables,9,70
10/5/2015,store_1,vegetables,5,52
6/9/2016,store_1,vegetables,9,41
3/8/2017,store_1,vegetables,8,56
2/10/2017,store_1,vegetables,10,39
3/2/2017,store_1,vegetables,2,39
6/8/2016,store_1,vegetables,8,62
3/11/2017,store_1,vegetables,11,66
3/7/2017,store_1,vegetables,7,65
6/7/2016,store_1,vegetables,7,53
1/5/2017,store_1,vegetables,5,55
10/4/2015,store_1,vegetables,4,43
5/9/2016,store_1,vegetables,9,41
1/7/2017,store_1,High Fiber Tomato Basil Soup,7,103
6/2/2016,store_1,High Fiber Tomato Basil Soup,2,72
1/10/2017,store_1,High Fiber Tomato Basil Soup,10,88
11/4/2015,store_1,High Fiber Tomato Basil Soup,4,81
2/3/2017,store_1,High Fiber Tomato Basil Soup,3,59
10/1/2015,store_1,High Fiber Tomato Basil Soup,1,63
1/9/2017,store_1,High Fiber Tomato Basil Soup,9,64
10/3/2015,store_1,High Fiber Tomato Basil Soup,3,51
6/6/2016,store_1,High Fiber Tomato Basil Soup,6,60
1/3/2017,store_1,High Fiber Tomato Basil Soup,3,63
6/1/2016,store_1,High Fiber Tomato Basil Soup,1,51
1/12/2017,store_1,High Fiber Tomato Basil Soup,12,71
2/12/2017,store_1,curd cheese,12,58
11/7/2015,store_1,curd cheese,7,109
1/11/2017,store_1,curd cheese,11,61
1/12/2017,store_1,curd cheese,12,40
1/3/2017,store_1,curd cheese,3,54
6/3/2016,store_1,curd cheese,3,80
11/4/2015,store_1,curd cheese,4,74
5/2/2016,store_1,curd cheese,2,50
10/3/2015,store_1,curd cheese,3,54
6/4/2016,store_1,curd cheese,4,61
5/11/2016,store_1,curd cheese,11,74
5/12/2016,store_1,curd cheese,12,34
11/6/2015,store_1,curd cheese,6,74
10/1/2015,store_1,curd cheese,1,43
10/12/2015,store_1,curd cheese,12,50
6/11/2016,store_1,curd cheese,11,78
1/5/2017,store_1,curd cheese,5,61
1/9/2017,store_1,curd cheese,9,74
6/10/2016,store_1,curd cheese,10,63
11/11/2015,store_1,curd cheese,11,73
5/9/2016,store_1,curd cheese,9,55
11/12/2015,store_1,curd cheese,12,63
5/10/2016,store_1,curd cheese,10,59
11/10/2015,store_1,Organic Sprouted Barley Bread,10,60
1/5/2017,store_1,Organic Sprouted Barley Bread,5,52
10/6/2015,store_1,Organic Sprouted Barley Bread,6,73
11/2/2015,store_1,Organic Sprouted Barley Bread,2,34
1/9/2017,store_1,Organic Sprouted Barley Bread,9,96
11/1/2015,store_1,Organic Sprouted Barley Bread,1,53
5/12/2016,store_1,Organic Sprouted Barley Bread,12,43
11/6/2015,store_1,Organic Sprouted Barley Bread,6,68
11/11/2015,store_1,Organic Sprouted Barley Bread,11,62
2/2/2017,store_1,Organic Sprouted Barley Bread,2,46
6/9/2016,store_1,Organic Sprouted Barley Bread,9,56
5/4/2016,store_1,Organic Sprouted Barley Bread,4,60
1/1/2017,store_1,Organic Sprouted Barley Bread,1,54
1/3/2017,store_1,Organic Sprouted Barley Bread,3,39
2/10/2017,store_1,Organic Sprouted Barley Bread,10,49
5/8/2016,store_1,Organic Sprouted Barley Bread,8,69
6/7/2016,store_1,Organic Sprouted Barley Bread,7,75
6/10/2016,store_1,Organic Sprouted Barley Bread,10,81
5/2/2016,store_1,Organic Sprouted Barley Bread,2,54
1/2/2017,store_1,Organic Sprouted Barley Bread,2,54
3/5/2017,store_1,Organic Sprouted Barley Bread,5,75
10/1/2015,store_1,Organic Sprouted Barley Bread,1,51
2/4/2017,store_1,Organic Sprouted Barley Bread,4,72
10/10/2015,store_1,Organic Sprouted Barley Bread,10,56
6/3/2016,store_1,Organic Sprouted Barley Bread,3,69
10/10/2015,store_1,Fresh Foaming Cleanser,10,98
2/9/2017,store_1,Fresh Foaming Cleanser,9,101
11/9/2015,store_1,Fresh Foaming Cleanser,9,65
6/6/2016,store_1,Fresh Foaming Cleanser,6,90
11/11/2015,store_1,Fresh Foaming Cleanser,11,85
6/3/2016,store_1,Fresh Foaming Cleanser,3,82
6/12/2016,store_1,Fresh Foaming Cleanser,12,68
3/9/2017,store_1,Fresh Foaming Cleanser,9,99
11/3/2015,store_1,Fresh Foaming Cleanser,3,64
5/12/2016,store_1,Fresh Foaming Cleanser,12,50
1/1/2017,store_1,Fresh Foaming Cleanser,1,60
11/2/2015,store_1,Fresh Foaming Cleanser,2,64
11/8/2015,store_1,Fresh Foaming Cleanser,8,78
6/2/2016,store_1,Fresh Foaming Cleanser,2,67
10/11/2015,store_1,Fresh Foaming Cleanser,11,71
5/9/2016,store_1,Fresh Foaming Cleanser,9,59
1/8/2017,store_1,Fresh Foaming Cleanser,8,94
1/11/2017,store_1,Fresh Foaming Cleanser,11,71
11/10/2015,store_1,Fresh Foaming Cleanser,10,91
1/10/2017,store_1,Fresh Foaming Cleanser,10,94
11/12/2015,store_1,Fresh Foaming Cleanser,12,64
10/5/2015,store_1,Fresh Foaming Cleanser,5,103
6/8/2016,store_1,Fresh Foaming Cleanser,8,109
1/7/2017,store_1,Fresh Foaming Cleanser,7,111
6/10/2016,store_1,Fresh Foaming Cleanser,10,79
1/10/2017,store_1,Cran-Apple Juice Drink,10,66
6/3/2016,store_1,Cran-Apple Juice Drink,3,48
2/5/2017,store_1,Cran-Apple Juice Drink,5,64
11/6/2015,store_1,Cran-Apple Juice Drink,6,69
10/6/2015,store_1,Cran-Apple Juice Drink,6,52
1/11/2017,store_1,Cran-Apple Juice Drink,11,54
2/8/2017,store_1,Cran-Apple Juice Drink,8,61
3/3/2017,store_1,Cran-Apple Juice Drink,3,46
3/6/2017,store_1,Cran-Apple Juice Drink,6,82
6/7/2016,store_1,Cran-Apple Juice Drink,7,58
2/1/2017,store_1,Cran-Apple Juice Drink,1,25
3/9/2017,store_1,Cran-Apple Juice Drink,9,72
5/6/2016,store_1,Cran-Apple Juice Drink,6,75
5/12/2016,store_1,Cran-Apple Juice Drink,12,40
1/5/2017,store_1,Cran-Apple Juice Drink,5,61
2/12/2017,store_1,Cran-Apple Juice Drink,12,51
11/12/2015,store_1,Cran-Apple Juice Drink,12,47
10/9/2015,store_1,Cran-Apple Juice Drink,9,70
11/9/2015,store_1,Cran-Apple Juice Drink,9,58
11/1/2015,store_1,Cran-Apple Juice Drink,1,40
10/8/2015,store_1,Cran-Apple Juice Drink,8,50
2/9/2017,store_1,Cran-Apple Juice Drink,9,62
11/11/2015,store_1,Cran-Apple Juice Drink,11,59
1/4/2017,store_1,Cran-Apple Juice Drink,4,70
2/11/2017,store_1,Cran-Apple Juice Drink,11,75
2/4/2017,store_1,Cran-Apple Juice Drink,4,65
11/2/2015,store_1,Cut Leaf Spinach,2,45
11/9/2015,store_1,Cut Leaf Spinach,9,88
3/10/2017,store_1,Cut Leaf Spinach,10,98
10/9/2015,store_1,Cut Leaf Spinach,9,98
3/1/2017,store_1,Cut Leaf Spinach,1,72
10/11/2015,store_1,Cut Leaf Spinach,11,63
3/9/2017,store_1,Cut Leaf Spinach,9,102
2/8/2017,store_1,Cut Leaf Spinach,8,81
1/6/2017,store_1,Cut Leaf Spinach,6,129
1/12/2017,store_1,Cut Leaf Spinach,12,63
1/10/2017,store_1,Cut Leaf Spinach,10,104
6/3/2016,store_1,Cut Leaf Spinach,3,91
10/2/2015,store_1,Cut Leaf Spinach,2,49
3/2/2017,store_1,Cut Leaf Spinach,2,78
3/3/2017,store_1,Cut Leaf Spinach,3,98
2/5/2017,store_1,Cut Leaf Spinach,5,97
11/4/2015,store_1,Cut Leaf Spinach,4,91
5/3/2016,store_1,Cut Leaf Spinach,3,92
10/3/2015,store_1,Cut Leaf Spinach,3,68
3/8/2017,store_1,Cut Leaf Spinach,8,85
6/9/2016,store_1,Cut Leaf Spinach,9,79
3/7/2017,store_1,Cut Leaf Spinach,7,84
10/8/2015,store_1,Cut Leaf Spinach,8,66
3/11/2017,store_1,Cut Leaf Spinach,11,104
1/1/2017,store_1,Cut Leaf Spinach,1,80
1/3/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,3,26
2/1/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,1,13
11/5/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,5,32
2/10/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,10,15
3/8/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,8,26
5/6/2016,store_1,Strawberry Blast Kid's Honest Toothpaste,6,30
3/11/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,11,33
2/2/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,2,15
5/5/2016,store_1,Strawberry Blast Kid's Honest Toothpaste,5,22
1/10/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,10,24
5/9/2016,store_1,Strawberry Blast Kid's Honest Toothpaste,9,20
6/11/2016,store_1,Strawberry Blast Kid's Honest Toothpaste,11,28
11/4/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,4,33
6/8/2016,store_1,Strawberry Blast Kid's Honest Toothpaste,8,30
1/12/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,12,15
3/4/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,4,17
2/3/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,3,19
6/4/2016,store_1,Strawberry Blast Kid's Honest Toothpaste,4,25
11/6/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,6,27
11/7/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,7,42
10/1/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,1,17
11/8/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,8,20
3/1/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,1,12
10/2/2015,store_1,Strawberry Blast Kid's Honest Toothpaste,2,17
2/11/2017,store_1,Strawberry Blast Kid's Honest Toothpaste,11,30
3/2/2017,store_1,Frozen Organic Strawberries,2,27
2/11/2017,store_1,Frozen Organic Strawberries,11,36
11/4/2015,store_1,Frozen Organic Strawberries,4,32
5/6/2016,store_1,Frozen Organic Strawberries,6,44
3/1/2017,store_1,Frozen Organic Strawberries,1,23
10/9/2015,store_1,Frozen Organic Strawberries,9,37
10/4/2015,store_1,Frozen Organic Strawberries,4,43
6/9/2016,store_1,Frozen Organic Strawberries,9,31
5/11/2016,store_1,Frozen Organic Strawberries,11,42
2/4/2017,store_1,Frozen Organic Strawberries,4,51
2/10/2017,store_1,Frozen Organic Strawberries,10,23
5/5/2016,store_1,Frozen Organic Strawberries,5,27
11/11/2015,store_1,Frozen Organic Strawberries,11,30
6/6/2016,store_1,Frozen Organic Strawberries,6,40
10/5/2015,store_1,Frozen Organic Strawberries,5,29
5/8/2016,store_1,Frozen Organic Strawberries,8,47
6/8/2016,store_1,Frozen Organic Strawberries,8,40
10/3/2015,store_1,Frozen Organic Strawberries,3,19
3/5/2017,store_1,butter milk,5,78
2/4/2017,store_1,butter milk,4,116
1/12/2017,store_1,butter milk,12,76
5/1/2016,store_1,butter milk,1,57
6/8/2016,store_1,butter milk,8,101
6/11/2016,store_1,butter milk,11,110
11/11/2015,store_1,butter milk,11,79
11/1/2015,store_1,butter milk,1,58
11/6/2015,store_1,butter milk,6,98
2/12/2017,store_1,butter milk,12,68
6/1/2016,store_1,butter milk,1,46
2/10/2017,store_1,butter milk,10,67
11/12/2015,store_1,butter milk,12,58
5/12/2016,store_1,butter milk,12,40
5/3/2016,store_1,butter milk,3,76
5/10/2016,store_1,butter milk,10,65
1/10/2017,store_1,butter milk,10,86
6/5/2016,store_1,butter milk,5,93
10/12/2015,store_1,butter milk,12,55
11/5/2015,store_1,butter milk,5,56
2/8/2017,store_1,butter milk,8,81
2/11/2017,store_1,butter milk,11,86
2/1/2017,store_1,Anti Itch Gel,1,23
10/2/2015,store_1,Anti Itch Gel,2,22
11/7/2015,store_1,Anti Itch Gel,7,57
5/4/2016,store_1,Anti Itch Gel,4,38
1/5/2017,store_1,Anti Itch Gel,5,43
3/4/2017,store_1,Anti Itch Gel,4,49
6/1/2016,store_1,Anti Itch Gel,1,26
11/5/2015,store_1,Anti Itch Gel,5,43
3/2/2017,store_1,Anti Itch Gel,2,23
2/7/2017,store_1,Anti Itch Gel,7,51
2/4/2017,store_1,Anti Itch Gel,4,55
1/4/2017,store_1,Anti Itch Gel,4,50
3/1/2017,store_1,Anti Itch Gel,1,23
2/3/2017,store_1,Anti Itch Gel,3,31
3/6/2017,store_1,Anti Itch Gel,6,50
11/12/2015,store_1,Anti Itch Gel,12,39
2/5/2017,store_1,Anti Itch Gel,5,38
6/12/2016,store_1,Anti Itch Gel,12,35
6/4/2016,store_1,Anti Itch Gel,4,41
2/10/2017,store_1,Anti Itch Gel,10,36
3/5/2017,store_1,Comforting Avocado Skin Care Oil,5,47
6/8/2016,store_1,Comforting Avocado Skin Care Oil,8,61
11/7/2015,store_1,Comforting Avocado Skin Care Oil,7,65
1/7/2017,store_1,Comforting Avocado Skin Care Oil,7,87
3/6/2017,store_1,Comforting Avocado Skin Care Oil,6,52
6/2/2016,store_1,Comforting Avocado Skin Care Oil,2,31
3/7/2017,store_1,Comforting Avocado Skin Care Oil,7,42
2/1/2017,store_1,Comforting Avocado Skin Care Oil,1,26
3/9/2017,store_1,Comforting Avocado Skin Care Oil,9,59
1/3/2017,store_1,Comforting Avocado Skin Care Oil,3,34
5/4/2016,store_1,Comforting Avocado Skin Care Oil,4,43
10/4/2015,store_1,Comforting Avocado Skin Care Oil,4,43
10/11/2015,store_1,Comforting Avocado Skin Care Oil,11,40
1/2/2017,store_1,Comforting Avocado Skin Care Oil,2,28
5/8/2016,store_1,Comforting Avocado Skin Care Oil,8,59
5/1/2016,store_1,Comforting Avocado Skin Care Oil,1,24
1/11/2017,store_1,Comforting Avocado Skin Care Oil,11,50
5/5/2016,store_1,Comforting Avocado Skin Care Oil,5,56
11/4/2015,store_1,Comforting Avocado Skin Care Oil,4,55
1/10/2017,store_1,Comforting Avocado Skin Care Oil,10,47
3/8/2017,store_1,Comforting Avocado Skin Care Oil,8,54
1/4/2017,store_1,cadbury chocolate,4,47
6/3/2016,store_1,cadbury chocolate,3,38
2/2/2017,store_1,cadbury chocolate,2,32
10/7/2015,store_1,cadbury chocolate,7,54
1/1/2017,store_1,cadbury chocolate,1,39
3/12/2017,store_1,cadbury chocolate,12,45
11/4/2015,store_1,cadbury chocolate,4,48
3/8/2017,store_1,cadbury chocolate,8,31
2/9/2017,store_1,cadbury chocolate,9,49
1/10/2017,store_1,cadbury chocolate,10,39
3/9/2017,store_1,cadbury chocolate,9,61
3/4/2017,store_1,cadbury chocolate,4,41
1/3/2017,store_1,cadbury chocolate,3,34
10/4/2015,store_1,cadbury chocolate,4,36
3/5/2017,store_1,cadbury chocolate,5,50
3/6/2017,store_1,cadbury chocolate,6,58
10/2/2015,store_1,cadbury chocolate,2,29
10/9/2015,store_1,cadbury chocolate,9,40
1/12/2017,store_1,cadbury chocolate,12,38
10/8/2015,store_1,cadbury chocolate,8,32
2/12/2017,store_1,umbrella,12,61
11/5/2015,store_1,umbrella,5,62
11/10/2015,store_1,umbrella,10,91
1/2/2017,store_1,umbrella,2,57
6/12/2016,store_1,umbrella,12,48
6/5/2016,store_1,umbrella,5,101
10/2/2015,store_1,umbrella,2,49
10/10/2015,store_1,umbrella,10,84
1/8/2017,store_1,umbrella,8,81
11/7/2015,store_1,umbrella,7,114
5/11/2016,store_1,umbrella,11,102
11/4/2015,store_1,umbrella,4,80
2/10/2017,store_1,umbrella,10,66
3/11/2017,store_1,umbrella,11,99
1/9/2017,store_1,umbrella,9,87
3/8/2017,store_1,umbrella,8,87
10/12/2015,store_1,umbrella,12,63
6/7/2016,store_1,umbrella,7,90
3/1/2017,store_1,umbrella,1,37
5/5/2016,store_1,umbrella,5,79
6/11/2016,store_1,umbrella,11,105
1/5/2017,store_1,umbrella,5,75
2/2/2017,store_1,umbrella,2,62
3/4/2017,store_1,umbrella,4,66
1/10/2017,store_1,umbrella,10,79
6/9/2016,store_1,umbrella,9,76
11/3/2015,store_1,napkins,3,19
5/6/2016,store_1,napkins,6,54
6/3/2016,store_1,napkins,3,29
3/1/2017,store_1,napkins,1,14
2/5/2017,store_1,napkins,5,30
6/1/2016,store_1,napkins,1,16
1/5/2017,store_1,napkins,5,30
6/10/2016,store_1,napkins,10,23
10/12/2015,store_1,napkins,12,24
3/12/2017,store_1,napkins,12,20
6/12/2016,store_1,napkins,12,24
3/7/2017,store_1,napkins,7,27
1/4/2017,store_1,napkins,4,38
1/3/2017,store_1,napkins,3,26
10/9/2015,store_1,napkins,9,30
2/2/2017,store_1,napkins,2,16
5/2/2016,store_1,napkins,2,27
1/2/2017,store_1,napkins,2,13
6/5/2016,store_1,napkins,5,39
3/3/2017,store_1,napkins,3,37
11/5/2015,store_1,napkins,5,19
10/6/2015,store_1,diapers,6,69
1/3/2017,store_1,diapers,3,47
10/2/2015,store_1,diapers,2,48
5/7/2016,store_1,diapers,7,68
2/9/2017,store_1,diapers,9,69
5/10/2016,store_1,diapers,10,64
3/1/2017,store_1,diapers,1,39
11/1/2015,store_1,diapers,1,56
2/10/2017,store_1,diapers,10,49
6/2/2016,store_1,diapers,2,51
6/4/2016,store_1,diapers,4,65
11/5/2015,store_1,diapers,5,51
11/2/2015,store_1,diapers,2,34
10/5/2015,store_1,diapers,5,86
1/9/2017,store_1,diapers,9,96
3/10/2017,store_1,diapers,10,61
6/1/2016,store_1,diapers,1,47
10/7/2015,store_1,diapers,7,72
5/4/2016,store_1,diapers,4,64
2/7/2017,store_1,curtains,7,110
6/3/2016,store_1,curtains,3,93
5/10/2016,store_1,curtains,10,65
5/6/2016,store_1,curtains,6,136
1/10/2017,store_1,curtains,10,100
6/1/2016,store_1,curtains,1,60
11/1/2015,store_1,curtains,1,54
11/8/2015,store_1,curtains,8,77
10/12/2015,store_1,curtains,12,42
6/2/2016,store_1,curtains,2,88
11/3/2015,store_1,curtains,3,59
1/1/2017,store_1,curtains,1,65
3/1/2017,store_1,curtains,1,56
3/7/2017,store_1,curtains,7,69
11/7/2015,store_1,curtains,7,99
2/6/2017,store_1,curtains,6,111
2/3/2017,store_1,curtains,3,74
5/11/2016,store_1,curtains,11,94
3/2/2017,store_1,toothpaste,2,40
1/7/2017,store_1,toothpaste,7,69
6/9/2016,store_1,toothpaste,9,55
5/5/2016,store_1,toothpaste,5,55
1/6/2017,store_1,toothpaste,6,60
6/6/2016,store_1,toothpaste,6,49
2/2/2017,store_1,toothpaste,2,39
6/3/2016,store_1,toothpaste,3,51
10/4/2015,store_1,toothpaste,4,45
6/10/2016,store_1,toothpaste,10,42
1/4/2017,store_1,toothpaste,4,59
2/1/2017,store_1,toothpaste,1,18
10/7/2015,store_1,toothpaste,7,52
6/11/2016,store_1,toothpaste,11,52
2/12/2017,store_1,toothpaste,12,37
11/4/2015,store_1,toothpaste,4,53
6/12/2016,store_1,toothpaste,12,34
5/10/2016,store_1,toothpaste,10,43
5/3/2016,store_1,toothpaste,3,45
6/7/2016,store_1,toothpaste,7,64
5/12/2016,store_1,toothpaste,12,35
3/8/2017,store_1,toothpaste,8,56
5/12/2016,store_1,face wash,12,11
6/8/2016,store_1,face wash,8,30
1/12/2017,store_1,face wash,12,18
1/9/2017,store_1,face wash,9,32
10/10/2015,store_1,face wash,10,20
6/1/2016,store_1,face wash,1,13
11/6/2015,store_1,face wash,6,25
3/10/2017,store_1,face wash,10,15
5/3/2016,store_1,face wash,3,18
6/9/2016,store_1,face wash,9,21
2/5/2017,store_1,face wash,5,27
6/2/2016,store_1,face wash,2,21
6/11/2016,store_1,face wash,11,28
10/2/2015,store_1,face wash,2,16
2/10/2017,store_1,face wash,10,17
10/12/2015,store_1,face wash,12,15
2/2/2017,store_1,face wash,2,14
3/8/2017,store_1,face wash,8,27
6/12/2016,store_1,face wash,12,7
3/9/2017,store_1,face wash,9,29
5/2/2016,store_1,face wash,2,22
2/8/2017,store_1,face wash,8,35
2/3/2017,store_1,face wash,3,25
1/6/2017,store_1,face wash,6,21
10/4/2015,store_1,face wash,4,20
1/7/2017,store_1,face wash,7,28
6/11/2016,store_1,Brown Rice & Lentils,11,103
11/11/2015,store_1,Brown Rice & Lentils,11,69
2/3/2017,store_1,Brown Rice & Lentils,3,94
11/2/2015,store_1,Brown Rice & Lentils,2,59
10/8/2015,store_1,Brown Rice & Lentils,8,63
6/1/2016,store_1,Brown Rice & Lentils,1,40
11/10/2015,store_1,Brown Rice & Lentils,10,98
3/1/2017,store_1,Brown Rice & Lentils,1,48
5/5/2016,store_1,Brown Rice & Lentils,5,94
